Nacionalidad;País de origen;Periodo;Total
Extranjera;Bélgica;2021;5.211
Extranjera;Bulgaria;2021;2.935
Extranjera;Dinamarca;2021;961
Extranjera;Finlandia;2021;807
Extranjera;Francia;2021;13.746
Extranjera;Irlanda;2021;3.258
Extranjera;Italia;2021;14.975
Extranjera;Países Bajos;2021;5.996
Extranjera;Polonia;2021;3.016
Extranjera;Portugal;2021;6.036
Extranjera;Alemania;2021;13.143
Extranjera;Rumanía;2021;15.663
Extranjera;Suecia;2021;2.935
Extranjera;Lituania;2021;801
Extranjera;Otro país de la Unión Europea sin España;2021;5.782
Extranjera;Europa menos UE27_2020;2021;51.075
Extranjera;Reino Unido;2021;28.078
Extranjera;País de Europa menos UE28;2021;""
Extranjera;Noruega;2021;1.485
Extranjera;Suiza;2021;2.088
Extranjera;Ucrania;2021;5.089
Extranjera;Moldavia;2021;1.071
Extranjera;Rusia;2021;7.755
Extranjera;Otro país del resto de Europa;2021;5.509
Extranjera;África;2021;88.318
Extranjera;Argelia;2021;5.634
Extranjera;Gambia;2021;2.136
Extranjera;Ghana;2021;1.710
Extranjera;Guinea;2021;875
Extranjera;Guinea Ecuatorial;2021;1.073
Extranjera;Mali;2021;3.777
Extranjera;Marruecos;2021;58.739
Extranjera;Mauritania;2021;1.147
Extranjera;Nigeria;2021;1.285
Extranjera;Senegal;2021;7.060
Extranjera;Otro país de África;2021;4.882
Extranjera;América del Norte;2021;17.128
Extranjera;Estados Unidos de América;2021;9.866
Extranjera;México;2021;5.998
Extranjera;Canadá;2021;1.264
Extranjera;Centro América y Caribe;2021;35.288
Extranjera;Cuba;2021;9.186
Extranjera;Honduras;2021;10.285
Extranjera;Nicaragua;2021;3.654
Extranjera;República Dominicana;2021;6.459
Extranjera;Otro país de Centro América y Caribe;2021;5.704
Extranjera;Sudamérica;2021;136.301
Extranjera;Argentina;2021;26.259
Extranjera;Bolivia;2021;3.634
Extranjera;Brasil;2021;6.777
Extranjera;Colombia;2021;39.434
Extranjera;Chile;2021;5.695
Extranjera;Ecuador;2021;7.774
Extranjera;Paraguay;2021;4.395
Extranjera;Perú;2021;16.857
Extranjera;Uruguay;2021;2.555
Extranjera;Venezuela;2021;22.909
Extranjera;Otro país de Sudamérica;2021;12
Extranjera;Asia;2021;32.502
Extranjera;Bangladesh;2021;1.081
Extranjera;China;2021;5.658
Extranjera;Filipinas;2021;1.721
Extranjera;India;2021;3.193
Extranjera;Pakistán;2021;9.410
Extranjera;Otro país de Asia;2021;11.439
Extranjera;Oceanía ;2021;696
